addr,mode,bin,count,value,param1,param2,param3,param4,param5,param6
M101,双字,送料左写,1,,,,,,,
M100,双字,送料右写,1,,,,,,,
M118,双字,出料左写,1,,,,,,,
M119,双字,出料右写,1,,,,,,,
M140,双字,检测正写,1,,,,,,,
M141,双字,检测负写,1,,,,,,,
M103,双字,送料上压写,,,,,,,,
M104,双字,送料侧压写,1,,,,,,,
M113,双字,切料气缸写,1,,,,,,,
M124,双字,条码真空吸附阀写,1,,,,,,,
M107,双字,切刀电机写,1,,,,,,,
M112,双字,切料侧压左写,1,,,,,,,
M109,双字,上料架升降写,1,,,,,,,
M114,双字,切料压料写,1,,,,,,,
M122,双字,切料侧压右写,1,,,,,,,
M108,双字,伺服上料位写,1,,,,,,,
M117,双字,条码吹尘阀写,1,,,,,,,
M111,双字,出料电机写,1,,,,,,,
M120,双字,条码吹气阀写,1,,,,,,,
M105,双字,出料夹料写,1,,,,,,,
M125,双字,条码下压气缸写,1,,,,,,,
M126,双字,条码水平进出气缸写,1,,,,,,,
M116,双字,上料电机写,1,,,,,,,
M129,双字,上料架检测吹尘写,,,,,,,,
HSD0,双字,送料读,1,,,,,,,
HSD4,双字,出料读,1,,,,,,,
HSD8,双字,锯料读,1,,,,,,,
HSD16,双字,检测读,1,,,,,,,
M440,双字,送料侧压读,1,,,,,,,
Y11,双字,切料气缸读,1,,,,,,,
Y23,双字,条码真空吸附阀读,1,,,,,,,
Y7,双字,切刀电机读,1,,,,,,,
Y12,双字,切料侧压左读,1,,,,,,,
M442,双字,上料架升降读,1,,,,,,,
Y10,双字,切料压料读,1,,,,,,,
Y14,双字,切料侧压右读,1,,,,,,,
M160,双字,伺服上料位读,1,,,,,,,
Y17,双字,条码吹尘阀读,1,,,,,,,
Y16,双字,出料电机读,1,,,,,,,
Y20,双字,条码吹气阀读,1,,,,,,,
M335,双字,出料夹料读,1,,,,,,,
Y21,双字,条码下压气缸读,1,,,,,,,
Y15,双字,条码水平进出气缸读,1,,,,,,,
Y3,双字,上料电机读,1,,,,,,,
D101,双字,页面切换写,1,,,,,,,
M445,双字,上料架检测吹尘读,,,,,,,,
Y5,双字,送料上压读,,,,,,,,
Y22,双字,上料架升降读,,,,,,,,
M1004,双字,报警1,1,,,,变频器报警,,,
M1005 ,双字,报警2,1,,,,伺服报警,,,
M1006,双字,报警3,1,,,,送料正极限报警,,,
M1007,双字,报警4,1,,,,送料负极限报警,,,
M1013,双字,报警5,1,,,,防护门打开 停止中,,,
M1014,双字,报警6,1,,,,出料正极限报警,,,
M1016,双字,报警7,1,,,,检测轴负极限报警,,,
M1100,双字,报警8,1,,,,急停中,,,
M1110,双字,报警9,1,,,,上料架未下到位 请检查上料架汽缸和下到位开关,,,
M1111,双字,报警10,1,,,,锯料汽缸未下到位 请查看锯料汽缸好下限开关,,,
M1112,双字,报警11,1,,,,锯料汽缸未上到位 请查看锯料汽缸和上限开关,,,
M1113,双字,报警12,1,,,,打印未出纸或未吸住 请检查,,,
M1114 ,双字,报警13,1,,,,条码水平汽缸未在原位  请检查水平汽缸和开关,,,
M1115,双字,报警14,1,,,,条码进退汽缸未出到位  请检查水平汽缸和开关,,,
M1116,双字,报警15,1,,,,条码下压汽缸未退回到位 请检查水平汽缸和开关,,,
M1117,双字,报警16,1,,,,条码水平汽缸未退回到位 请检查水平汽缸和开关,,,
